Epoch,Training Loss,Training Accuracy,Mean Training IoU,Training IoU Loss,Validation Loss,Validation Accuracy,Mean Validation IoU,Validation IoU Loss
1,0.3061,88.07,0.7376,0.2624,0.1718,93.09,0.8436,0.1564
2,0.1836,92.9,0.8182,0.1818,0.1586,93.89,0.8565,0.1435
3,0.1603,93.76,0.8391,0.1609,0.1338,94.62,0.8774,0.1226
4,0.1451,94.28,0.8478,0.1522,0.1284,95.12,0.8829,0.1171
5,0.1359,94.68,0.8577,0.1423,0.1182,95.37,0.8885,0.1115
6,0.1366,94.59,0.8573,0.1427,0.1497,94.14,0.8631,0.1369
7,0.1303,94.85,0.861,0.139,0.1329,94.94,0.8763,0.1237
8,0.131,94.78,0.8622,0.1378,0.1181,95.59,0.8966,0.1034
9,0.1202,95.22,0.8726,0.1274,0.1183,95.15,0.8826,0.1174
10,0.1202,95.22,0.8723,0.1277,0.1059,95.93,0.9034,0.0966
11,0.1137,95.48,0.881,0.119,0.1055,95.78,0.9003,0.0997
12,0.1161,95.4,0.8768,0.1232,0.1176,95.33,0.8923,0.1077
13,0.1121,95.54,0.8795,0.1205,0.1203,95.11,0.8865,0.1135
14,0.1135,95.48,0.8804,0.1196,0.1251,95.17,0.8824,0.1176
15,0.11,95.61,0.8845,0.1155,0.1013,95.87,0.9017,0.0983
16,0.1076,95.69,0.8868,0.1132,0.1143,95.37,0.8838,0.1162
17,0.1073,95.71,0.8847,0.1153,0.101,96.0,0.9031,0.0969
18,0.1107,95.68,0.8867,0.1133,0.1111,95.62,0.8936,0.1064
19,0.1088,95.65,0.8844,0.1156,0.1085,95.6,0.8952,0.1048
20,0.1057,95.75,0.8894,0.1106,0.101,96.01,0.905,0.095
21,0.1023,95.9,0.8928,0.1072,0.1222,95.0,0.8842,0.1158
22,0.1059,95.75,0.8899,0.1101,0.1065,95.76,0.9008,0.0992
23,0.1006,95.91,0.8945,0.1055,0.0984,96.16,0.9075,0.0925
24,0.101,95.93,0.8926,0.1074,0.0905,96.49,0.9154,0.0846
25,0.0984,96.04,0.8979,0.1021,0.105,95.84,0.9007,0.0993
26,0.0979,96.03,0.8962,0.1038,0.1182,95.34,0.883,0.117
27,0.0977,96.02,0.8978,0.1022,0.0939,96.42,0.9136,0.0864
28,0.0939,96.17,0.9021,0.0979,0.1193,95.07,0.8765,0.1235
29,0.0938,96.17,0.9001,0.0999,0.0896,96.43,0.9145,0.0855
30,0.0923,96.23,0.9025,0.0975,0.0931,96.43,0.9144,0.0856
31,0.095,96.15,0.9003,0.0997,0.1039,95.77,0.8998,0.1002
32,0.0931,96.22,0.901,0.099,0.0859,96.59,0.917,0.083
33,0.0907,96.27,0.9054,0.0946,0.0935,96.26,0.9118,0.0882
34,0.0912,96.26,0.9056,0.0944,0.1447,94.56,0.8685,0.1315
35,0.0899,96.28,0.9065,0.0935,0.0954,96.15,0.9093,0.0907
36,0.0881,96.39,0.9094,0.0906,0.1002,96.12,0.9069,0.0931
37,0.0889,96.34,0.9079,0.0921,0.1033,96.04,0.9009,0.0991
38,0.0891,96.33,0.9056,0.0944,0.1032,95.82,0.9025,0.0975
39,0.0872,96.4,0.909,0.091,0.0949,96.19,0.9086,0.0914
40,0.0842,96.52,0.9126,0.0874,0.0923,96.42,0.9133,0.0867
